,Дата,Менеджер,Звонков совершено,Звонков успешных,Средняя длительность звонка,"Время на линии за день, минут",Количество активных сделок,Количество сделок без задач,Количество просроченных задач,Сделок создано,Встреч назначено,"Кол-во компаний, перешедших на сл этап сделки",Подписано NDA,Подписано договоров,Звонков всего,Разговор состоялся,Говорили с секретарем,Обход секретаря совершён,Секретарь перевел звонок,Контакт получен,Говорили с ЛПР,ЛПР заинтересован,Встреча назначена,Договорились подписать НДА,Договорились подписать Договор,договорились показать кандидатов,кол-во выявл потребн (чел),Нас отправили на почту (КП)
92,2022-02-17,daaa308c,16,8,1:41,13,680,3,3,0,,,,,16,15,4,3,3,3,0,0,0,0,0,0,0,1
93,2022-02-18,dce5a5e0,53,39,2:12,92,1536,638,0,0,,,,,53,21,18,4,5,6,4,8,0,1,1,0,0,2
94,2022-02-18,daaa308c,24,16,1:49,29,677,0,0,0,,,,,24,13,6,2,1,1,5,0,0,0,0,0,0,1
95,2022-02-21,dce5a5e0,48,34,2:37,88,1529,638,0,0,,,,,48,23,19,4,4,8,3,4,0,1,1,0,0,5
96,2022-02-21,daaa308c,24,15,1:37,24,675,0,5,0,,,,,24,14,6,2,2,2,6,0,0,0,0,0,0,1
97,2022-02-22,dce5a5e0,46,36,2:24,91,1516,637,335,1,,,,,46,26,18,7,1,7,13,9,0,0,0,0,0,1
98,2022-02-22,daaa308c,15,10,1:35,15,676,0,6,0,,,,,15,11,4,2,1,0,4,0,0,0,0,2,2,5
99,2022-02-24,dce5a5e0,46,28,2:33,71,1489,638,339,0,,,,,46,19,15,5,6,5,5,4,0,0,0,0,0,6
100,2022-02-24,daaa308c,19,13,1:16,16,674,0,2,0,,,,,19,12,4,1,0,0,0,2,0,0,0,0,0,1
101,2022-02-25,dce5a5e0,66,45,1:39,75,1416,631,338,0,,,,,66,26,20,7,7,9,8,10,0,0,0,0,0,7
102,2022-02-25,daaa308c,16,10,1:29,14,675,0,1,0,,,,,16,9,3,1,1,0,4,0,0,0,0,0,1,2
103,2022-02-28,dce5a5e0,61,48,1:53,91,1333,630,327,0,,,,,61,33,30,9,10,8,7,13,0,0,0,0,0,14
104,2022-02-28,daaa308c,25,18,1:13,22,673,1,1,1,,,,,25,14,11,8,4,4,2,0,0,0,0,0,0,1
105,2022-03-01,dce5a5e0,41,19,5:09,85,1072,340,351,0,,,,,41,13,9,4,3,6,5,9,1,0,0,0,0,1
106,2022-03-01,daaa308c,20,15,0:01,17,672,1,0,0,,,,,20,14,8,4,3,1,2,0,0,0,0,0,0,2
107,2022-03-02,dce5a5e0,28,23,1:57,47,1064,339,361,0,,,,,28,15,11,4,4,11,7,9,0,0,0,0,0,5
108,2022-03-02,daaa308c,20,14,1:34,21,672,0,0,1,,,,,20,10,9,4,1,1,1,0,0,0,0,1,0,1
109,2022-03-03,dce5a5e0,10,6,4:02,24,1063,339,391,0,,,,,10,8,4,1,1,0,4,2,2,0,0,0,1,2
110,2022-03-03,daaa308c,21,15,1:35,23,674,1,0,1,,,,,21,10,8,0,0,0,2,3,0,0,0,0,0,3
111,2022-03-03,65f27eeb,18,11,3:02,33,12,3,0,0,,,,,18,12,8,4,1,2,2,3,1,0,0,0,0,3
112,2022-03-04,dce5a5e0,32,24,2:32,61,1059,343,431,0,,,,,32,21,12,6,8,6,12,6,1,0,0,2,101,6
113,2022-03-04,daaa308c,21,11,1:37,17,677,2,0,1,,,,,21,11,6,0,0,0,0,3,0,0,0,1,1,1
114,2022-03-04,65f27eeb,55,29,1:37,62,37,0,0,28,,,,,55,22,17,0,1,1,2,5,0,0,0,0,0,9
115,2022-03-05,dce5a5e0,29,20,6:56,41,1051,345,441,0,,,,,29,17,10,3,6,3,6,6,3,0,0,0,0,2
116,2022-03-05,daaa308c,17,14,1:06,15,681,0,0,5,,,,,17,8,6,2,1,2,0,0,0,0,0,0,0,1
117,2022-03-05,65f27eeb,37,23,2:35,58,44,0,0,8,,,,,37,19,14,1,1,0,6,3,0,0,0,0,0,8
118,2022-03-09,dce5a5e0,49,37,2:07,76,1034,347,431,0,,,,,49,23,21,1,7,4,5,0,0,0,0,1,38,8
119,2022-03-09,daaa308c,26,23,1:15,26,683,0,0,1,,,,,26,15,8,4,3,3,3,0,0,0,0,1,0,0
120,2022-03-10,dce5a5e0,60,47,2:47,128,905,213,453,0,,,,,60,35,28,2,10,,11,12,10,1,0,0,0,12
121,2022-03-10,daaa308c,23,15,1:56,29,688,0,2,5,,,,,23,12,10,6,3,1,1,1,1,0,0,0,0,2
122,2022-03-11,dce5a5e0,60,41,2:17,93,676,0,455,2,,,,,60,24,20,3,8,7,5,11,0,0,0,1,0,7
123,2022-03-11,daaa308c,23,19,2:57,56,689,0,0,2,,,,,23,15,12,10,8,4,5,4,1,1,0,0,0,3
124,2022-03-11,65f27eeb,66,36,1:41,60,64,0,0,26,,,,,66,24,20,4,3,5,5,1,0,0,0,0,0,6
125,2022-03-11,cb3f2d09,36,23,1:02,23,9,1,0,10,,,,,36,7,3,0,0,1,0,0,0,0,0,0,0,4
126,2022-03-14,daaa308c,23,17,1:51,31,697,0,0,6,,,,,23,15,13,9,6,5,3,0,0,1,1,0,0,3
